,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value,cheap_expected_cost,cheap_true_cost,cheap_expected_value,cheap_true_value,good_expected_cost,good_true_cost,good_expected_value,good_true_value
0,4711779.267705905,4809210.022140043,7.659776415879705,7.162099698123722,4955825.313723872,6006710.236559493,21.392752621769095,20.08871661192106,5067010.904691299,6015377.055601584,21.697384040805552,20.30991202747677,4816735.387783879,5854526.817632262,17.131684106484308,17.54523427203444,4200248.302520401,3691973.0254949853,10.185396697997522,8.875818994093976
1,4342533.124645121,4847367.487409997,9.379681791886346,9.413511093252684,4908057.72588121,6101842.957290002,20.36372152407022,18.869110521435218,4908057.72588121,6101842.957290002,20.36372152407022,18.869110521435218,4963773.644446835,6074754.083897544,15.8317016194746,16.48638504215059,4794294.962011308,5267140.457678447,14.697989542449648,13.732828526675135
2,4878545.583458966,4331792.814359365,5.49496455620463,5.436462734539411,4716853.661423285,4912231.039983064,19.871975781669292,17.104619967104153,4950897.060190641,5218591.131099393,20.49253093587874,17.88145393728049,4625245.316829195,5155059.381866739,16.478538320901087,16.262207044619203,4422421.589669202,4507540.17806323,16.46172558054743,14.059012074138062
3,3880098.9097571084,3952051.8391000032,5.328952772480851,5.552006234814451,4769315.228562155,5495439.447012511,20.056190096130003,18.47692087108362,4941318.456836736,5714650.650570505,20.510237230279365,18.94828529429435,4796184.0930105,5449864.146827622,17.39620597449706,16.787966092622288,4851264.26933887,5182738.364122118,17.442883153062322,16.35556520963988
4,4581738.010140529,4195533.225887701,6.487034275656219,6.919005177420994,4947929.0088066,5394374.203331635,22.172333252827606,21.0556232464577,5030455.86995477,5416560.147176268,22.331644997554577,21.265301875021873,4957486.019563481,5600624.247695811,18.327589356560114,17.65074152703359,4610736.773991751,4679801.857226163,14.40807201931208,12.570911288824203
5,4556835.472559892,5310785.263711533,6.842229047223828,6.641433850377151,4470219.076473503,4895570.879146915,18.542403365984736,17.345052123667074,5096246.79870007,5161348.8125181105,20.42318406019325,18.835257631601788,4976299.483028908,5679122.897444436,17.43076386087264,17.65469466967006,4610062.785876567,4275729.841994735,12.228598436896679,10.752405621951706
6,4429277.393630025,4117522.52979759,7.265035223545049,7.366863311403877,4827636.0911857495,5390752.1720125275,21.63996971261031,20.05620881620203,5007044.419427453,5593192.651309191,22.005474618968027,19.94333430244428,4734637.691407303,5811953.245868308,17.704868437822707,17.046562283618314,4016910.8866940564,4071263.2908421597,10.478542399040615,10.000872653139007
7,4616569.826456095,4515553.344984058,4.676956867850004,4.763061217685108,4890867.389602672,4864687.051582815,19.50283656288134,17.69187433903792,4951779.476513696,4895581.025127204,19.62529319436885,17.656063483019874,4732612.710886985,5441541.98164084,13.790819838514352,14.383252989872867,4802381.3542960575,4549324.109508872,13.767884978695852,12.608835931693758
8,4447014.224646423,4021239.910607042,5.121933531515783,4.9179904419799945,4603421.896730822,5066599.817284627,18.941701286028195,16.624303340291284,5067467.738587855,5337844.459244278,20.134869991366795,17.52570881615242,4943674.013512626,5741894.654052484,15.390051378148668,14.920462147560858,4486231.64400148,4629828.3699341435,11.85514680847603,9.830704525648187
9,4781549.351583904,3994940.4953098074,3.8371509831419237,4.127024954644672,4710737.882429553,5214127.49872398,20.801231525895105,20.781043669513185,4930381.150071132,5345585.229024851,21.525857078601298,21.480984392689162,4775634.796330489,5639009.280251188,17.226435194342248,18.408092579011132,4829882.976969225,4622267.634483436,16.48359759702887,14.43468909386717
10,3647718.6938011614,3645331.3751600627,6.690913416935963,7.189768412362237,4895006.784746676,5342486.743631762,21.072106906751884,22.35603301994563,5073235.1515640635,5358953.933694917,21.1206094844937,22.212033093132458,4832416.284570841,5551038.559849242,18.46536320443605,20.36271470934515,4715327.12844981,5103744.223729997,11.640280701365763,10.5791674438438
11,4315682.08737169,4208755.189395085,5.726641923956645,4.95246557195231,4783844.951279261,5532995.528785144,22.05028970006699,20.463960984151736,4897890.54627909,5645344.056436868,22.394719463460277,20.80904437360464,4876640.484938976,5729558.529833309,16.96090183299854,17.296741023115228,4443788.536120385,4480273.689588448,13.477952717149948,11.87214183933075
12,4965013.291152949,5198015.068359194,7.003788219996258,7.495811383714752,4681562.578390726,5257628.180235696,19.94773861092722,18.53119916804038,4996993.234111596,5486286.186518933,20.7999058437556,19.36244117831763,4779790.014547083,5405733.512521618,17.235681120450913,17.612991831232844,4576450.061758876,4928100.120809204,14.966542198339992,12.673415281474295
13,4591444.879534061,4468165.445888094,4.314219666568677,5.44637253136614,4973090.6883584885,5558013.127444394,19.967900912484033,19.378432746598858,4973090.6883584885,5558013.127444394,19.967900912484033,19.378432746598858,4889177.827059015,5595873.623760546,14.73479604704119,15.593368176675941,4420254.426686562,4482826.003492814,15.276720609308917,13.230329966633864
14,4543125.842807045,4330859.023555702,8.734184669586485,8.623042966471226,4957438.624545624,5404658.496886147,22.450555600605984,21.17948357705028,5008512.898265165,5498574.900563589,22.469930983998736,21.2550130794549,4792535.451519796,5387194.190441036,16.356341787766,16.222974709303415,4604961.655728165,4703469.092351595,16.44691077790847,15.917702573893408
15,4668880.748205514,4567402.828582827,7.957139187301729,7.936944339707119,4589065.19637505,4651831.477444456,17.8207922595496,16.015528930083903,5049254.578332466,5099646.50115516,19.109886954676377,17.82638296110353,4941410.57709031,5337151.913604399,15.132054911645639,14.941700349244929,4567897.531158907,4274780.182455665,13.09226526335074,10.647138536456993
