,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value,cheap_expected_cost,cheap_true_cost,cheap_expected_value,cheap_true_value,good_expected_cost,good_true_cost,good_expected_value,good_true_value
0,3464946.182649363,3879175.78287046,4.455907150346695,5.245117479957674,4851160.070421588,12401668.088707054,30.3519723018193,23.847377083175537,5098993.4864600785,12059655.752224607,30.803550502965646,24.453323785445956,4868583.001705737,12905683.639406433,26.71215539223794,27.852638855671078,4963693.324768515,4927140.798868462,14.761224601487545,10.68150504284751
1,4611936.979149483,4075023.696968134,8.785006224667555,6.209073141432505,4909087.139692362,11113315.76646363,30.545931977045278,22.742692611910087,5239841.625639033,10903154.682499457,30.73020643360668,22.764753908398365,4883213.8985489635,13990599.37845617,25.832659167587035,22.683296209493207,3956308.6505352785,3568971.820536495,12.19037848097312,7.110414536520223
2,4500244.68598536,4045404.0426055966,6.432675489058601,7.8941248443429775,4970585.375917763,9719878.569955401,29.337565342512562,24.45809093620459,4970585.375917763,9719878.569955401,29.337565342512562,24.45809093620459,4737158.828634309,11574417.213543626,21.31638903844594,23.70771314996936,4524939.147057993,4709434.93298936,16.830027564299247,11.352713560019998
3,4500516.76062359,5007244.061942898,6.801005913394497,9.294782938044644,4751911.915790618,11559239.164752092,32.014412079462886,24.49638161827208,5079189.213587281,11447974.157335097,33.33461727087607,25.1551987907547,4882388.151791252,12380689.065525569,27.843476418669027,25.39725392683843,4206715.711371454,5292842.374207183,17.627256718209143,12.443655121018132
4,4253878.553903128,4170097.529035003,4.985335498695639,7.425916462855252,4775966.373272799,8668102.321450908,24.536229537822635,18.59277515537752,4926593.498955855,8650091.194789778,24.971848023982407,18.64273990485746,4905300.618228162,9739095.951104704,19.69883307669424,18.05695595320433,4674842.749706522,5115348.754059454,13.298479365813428,8.88768545709093
5,4896377.089776619,4162540.2628622623,3.716184725122432,4.894241061879107,4885364.185150226,11479554.659881856,30.80021095800706,23.651271684729245,5127689.669283594,11081658.112609638,31.56841109998306,24.16766042742024,4906188.992979073,13390419.527043594,28.545692291465382,27.081292625477314,4798292.885995082,4497910.501357976,14.765417790812805,10.327467319565962
6,4549783.517662686,6602800.042614786,8.339344433550993,7.8347342943730665,4979000.861486107,11146320.607729293,34.312687117818214,28.351388523698038,4979000.861486107,11146320.607729293,34.312687117818214,28.351388523698038,4783830.276425563,13399084.664826693,26.248515465746316,27.64038769299872,4403945.897700212,4839844.050001625,18.239746238959636,12.665289719249227
7,4832851.835221577,4883033.404190569,6.759774557037877,6.890714803268688,4585368.93989762,11852678.104463642,23.565566651557333,19.928629284261074,5069208.3958169045,10729785.962441891,24.8261088136087,21.714640830915208,4951594.17138781,13977468.679170514,20.291230926544152,23.557706878063186,3611629.7036041785,3624007.950031265,11.268793380243727,7.728679549094642
8,4952651.858604419,5024566.295484428,10.468069702122907,6.466425767599906,4856799.271273685,9374874.241494222,32.06292399183192,22.03934219062759,4967687.064017941,8998727.63495295,32.306066146880994,22.498363511551027,4709496.175643767,12117564.968007652,22.057107469932387,23.069418439681424,4760087.609765124,3576533.4064571736,13.23468313363291,7.908215906890257
9,4861373.618872346,4912942.805898049,5.028293250345417,5.568551797128473,4966820.684627296,10901278.531413646,30.135654511865294,26.70662789793096,4966820.684627296,10901278.531413646,30.135654511865294,26.70662789793096,4885120.198378936,12697426.865400948,24.271150364806957,25.978349228639114,4687286.772332012,4160546.864187597,8.915913479868038,5.127993244546476
10,4666735.021734952,4791316.175029564,6.369126520486468,7.538753752394776,4811169.335625552,12758716.613419112,30.837963652672506,28.788951037415217,4999868.623896422,12320267.001337335,31.406958513878198,28.373691065750947,4872333.866468078,12229247.079303443,26.67083905124474,28.115535742860985,4771929.917302967,5532846.731086544,13.796821314789238,10.622048350003709
11,4659419.25624833,4459815.953780525,5.515053292825588,5.908789511148258,4688823.810037559,9368014.292392464,26.194295481442282,21.80894015101814,5054277.841705238,9304310.048057232,27.435415086399832,21.870414378281268,4697973.021674136,9696373.038473433,17.69523234695861,22.32224350051009,4856235.783290952,6063109.498022671,19.465442717811133,12.558517645234923
12,4651931.425750668,3815345.544810448,5.979728627926956,7.1660373030213105,4721999.812401147,11697147.956141584,33.08537417161312,25.468014927477643,4929644.025908894,11847548.151314896,33.79611398822203,25.5808629865258,4769163.103652689,13868577.467855647,27.696124293988316,27.336208026912807,4254324.77640141,5412860.171724726,19.40929345273294,12.611572251860226
13,3587338.2153483336,4029740.042115039,10.577826065425121,6.938138003513205,4933607.806566974,10998984.461948197,31.145867553607268,25.767241530370075,4956864.584092968,10874899.961081998,31.15586346412084,25.34685571149135,4805205.277646575,13370331.369317394,23.67102363684453,27.384482629716913,4646783.9696466625,4574584.586579424,15.288990835043462,10.139425758596758
14,4899132.235139832,7017596.303224149,8.971001584142586,8.650074984200662,4978941.113894588,12199697.445060847,31.504498448742574,26.524330758683917,4978941.113894588,12199697.445060847,31.504498448742574,26.524330758683917,4738567.555300911,11484608.116941625,23.702802215839203,23.860974630672047,4689507.973901122,5949545.681820409,18.136108176415558,11.492380135571672
15,3564339.6748741837,3356670.1390062096,5.042536499310977,6.254875841305328,4913537.103889592,9535677.338876372,30.828492892559176,26.25072716289966,5112491.437565453,9746895.243671596,31.228984138560218,26.94562726137883,4703998.0042086225,11284872.0198765,22.429679138218525,27.800102340259595,4490552.375896449,4186949.412187737,16.505827672635306,12.08161109811838
16,4438213.931811769,4854266.387638259,4.272729399551773,5.51619815113258,4970276.067441584,10433461.40107103,34.52139279272338,26.642222870576898,4970276.067441584,10433461.40107103,34.52139279272338,26.642222870576898,4874474.357885584,13339657.454044763,25.988442725229884,27.510657167622412,4269906.132602937,3636946.8844179534,14.727078975851597,10.35830612844064
17,3951435.914958301,3600394.9092119513,4.45510721734792,4.4603518960508755,4552022.935115005,9850265.89688351,28.380317378286684,22.43626097731351,4977177.556596703,9777868.477492604,29.496920617272465,22.389014394695906,4868348.978374013,12560442.951377666,24.3573784583134,23.22744808677266,4844336.238623659,3923520.6396171395,14.006116303229998,8.923002941685635
18,4127266.8294364763,3180361.6743291244,3.167719957067444,3.1125628602965203,4779516.118492218,6551796.300978315,26.20651164588631,20.296539956907004,5090932.970849495,6429314.631368106,27.27423767618094,20.91352674355521,4793746.981414864,9449319.345091794,19.471974092293554,20.733637720579246,4561202.039728304,3837514.4118366614,8.782127317408694,5.212250055972616
19,3784592.7909858134,3171649.265012906,3.1161253855068365,3.9315353630688907,4755848.131159118,7346070.758410042,29.80541223966499,22.92247563434304,4916724.613734912,7426481.676260316,30.516941386505437,22.732737766609002,4901281.833026121,11343129.37293975,24.063545668221877,24.390258906029107,4850683.5978216445,4651932.971901293,17.801618254270743,10.812423327635772
20,4663585.7982066525,5922366.759377492,6.161289680818533,6.0054374431077004,4977336.851763532,8509223.926336406,31.553748436674113,23.913307044190002,5158793.954827556,8522025.552975863,31.883135266388877,24.841921049117737,4800515.274678292,9219989.56561403,27.73094197740147,25.12511622737795,4790100.650113853,5001075.183496581,20.039332804901772,12.611833235036972
21,4900430.063598559,4479737.957359518,3.1823058580831622,4.880066413408471,4811801.045041913,7850172.462685339,29.14665923732823,21.733827123598818,5006902.127669162,8072669.034378677,29.633453402759887,21.817344408061647,4899639.077762983,9128352.610614933,21.752430141376145,22.613171295998512,4622077.1172411125,4114413.84370385,14.164834095211257,9.288928620098307
22,3861206.6315459847,2839897.3190699387,6.028522240821129,5.490862220013986,4868508.78521074,9893747.515983468,29.41359637757261,24.984944251294316,5078995.025530988,10039552.354359133,29.92249312095676,25.348503090207366,4943587.676527431,14581529.828887125,26.470497003338682,26.794214200409638,4806602.601070399,4909142.626705469,17.924203476703454,13.26433476454044
23,4908999.330909278,4745286.608463747,6.733644461681706,7.037530537016253,4777228.779289042,9492767.266302736,31.208898329359567,23.35646645310092,4942487.762739933,9669556.893066268,31.879062170289448,24.074894654623314,4773271.764008215,11254799.313205358,26.11857092754762,23.39849502079366,4834096.176248385,4912912.845750225,13.719706949979734,9.05243133689421
24,4480679.321923252,3478734.9337635,6.20551820061134,6.198310559408547,4684444.985497199,8278713.022840071,27.85211292192083,21.051646134725615,4979413.184298476,8474768.429089287,28.867797286766052,21.833032683601026,4853179.406406224,10837448.34256942,23.352179166487385,22.6131008541498,3835698.8816777123,3631604.5416167937,14.206786273957102,9.115804813311158
25,4642987.5892257,5040758.874634127,6.892530861045259,7.985501902211756,4514128.367166455,10461076.374589475,28.570379489157975,27.255318755813473,4955989.690003673,11075774.666560942,30.215998004717154,27.423604449769826,4803354.620921327,13867466.730269266,25.36680008078884,29.393218186590328,4907686.513704837,5061341.245152315,16.10712987419486,9.811890063753742
26,4997776.401169565,5605586.664879287,9.022749755556793,7.654694814410738,4793985.469413479,9021988.632336259,29.073060787884877,20.778260319308252,5112296.070770921,9164808.248468662,29.778767048605793,21.416878619837593,4880812.868820833,10293192.692692606,24.93296350121921,22.68739787246255,4921145.473212101,4039550.262472391,11.006338821576069,6.5951894520103
27,3850108.545217947,2698863.763305772,3.9563338490246247,4.298275856036108,4762370.590549357,9666832.408503607,30.771455980938565,22.926798484265095,5036024.602544558,9854493.365141124,31.540457273557,24.27159884032411,4832076.495200781,12224665.07040139,26.767509719910716,25.12131734549644,4084736.155156928,3437757.304117767,16.547383873343094,11.672991010451593
28,3852732.8605887257,4371509.98164453,5.993090225286589,6.58687945141787,4901433.636320451,9929841.752180977,31.55888914207497,25.6950597033124,5032308.691554885,8686643.498580027,31.729051573664556,24.634141080585806,4937317.423257712,12602290.98434564,22.932002974578072,24.39488700964427,4801290.576992907,4510135.712970344,17.491194514844775,12.68771503038948
29,4016660.2805945594,3241541.458599245,2.777719162051489,2.732835103526802,4923014.7838982735,8967111.474341318,32.235608794391766,24.904971494299705,5089669.346141175,9143843.587513402,32.657355100746834,25.99938479515753,4952578.03584454,13259750.676212749,24.39411743664207,24.55697008716338,4804504.656101178,3103641.0202694926,12.70513598516794,7.880332353692156
30,4990743.1977796815,6798588.949638164,10.512194590173886,11.217548846389185,4826476.770336811,8239169.964884606,27.057326657638917,21.0764067915582,4900589.672789756,8016260.833860534,27.237871531669107,20.850816818616558,4944913.772719754,10311170.565101799,21.26051710584745,22.143883683074762,3764708.6301197363,3637945.1120696473,11.19568627317609,7.491739128025163
31,4060956.46982547,3124252.659584286,3.8070919452544936,3.488130717746591,4774258.101173178,11558585.308716614,30.599053889499316,24.894531557879887,5052661.083734525,11381396.444305474,31.465177604996004,25.234820821485116,4769586.165176046,14183926.848495483,25.20134883668655,26.881724433241775,4464789.3910616115,4094090.2888148045,12.31333297639309,7.247367063857405
32,4571573.890532158,4877823.716420396,6.298707820547344,5.7507457788535,4551412.974111737,10388704.577800496,30.507679762054586,22.581185775076897,5218482.197371615,10435429.376168884,33.27137335056989,24.03203236272911,4820907.967485345,11324706.408639511,22.978686307419643,23.38801691031815,4949518.144037581,5881560.841137684,21.960665010123623,13.444237014341425
33,3823408.0319039486,3203827.957831772,1.4544706355729367,2.2846921432682925,4626308.7909086505,8534968.484366607,27.160640125749772,22.170683705618377,4976411.9268824225,8600055.838875348,27.922751698572437,22.247622672309433,4817397.409170772,10928891.728477754,22.680291455059187,23.099432376165346,4722700.134801839,5374686.634188609,19.870445308817786,13.391920515671298
34,4408100.402002854,4776271.542314639,9.336828752399754,7.8864643073307565,4630221.172230476,9463943.89315501,26.213304399138007,22.301120527115327,5037454.907278095,10124869.453484729,27.58025650989957,24.37311210110562,4837416.0355674485,13000183.678397719,21.27605031526966,25.815345907300074,4707279.878892532,4394796.795900214,17.166121086022684,12.006930816026026
35,4704447.288193359,6179578.797869183,9.326812394950426,9.718482676533492,4786986.750242418,9908835.143544836,26.25665387183696,21.324001127247726,4786986.750242418,9908835.143544836,26.25665387183696,21.324001127247726,4855816.199162331,11904456.080331037,22.309941349419642,24.90510086975833,4890295.846016806,4040315.7922718814,11.012785390106613,8.111287525534006
36,4485655.090889296,3839973.846005491,4.980931781243205,4.6181745325668935,4807357.214983415,8625602.90786095,25.468470933864072,19.20985739320705,5178191.848735109,7107141.613898659,26.645396482473025,19.562802156628514,4709877.28582198,10118072.399256615,17.48639899605621,18.484122011937906,4083081.677373508,3524770.2191171246,14.235782534822363,9.198751176796684
37,4289964.660876502,4904620.135202117,8.243879677564099,6.884828052925131,4840193.932014668,9187507.700461915,31.2640103712558,23.289597644444882,4979276.5800659135,9516512.41421356,31.418561570897133,23.4745413612118,4854956.979869699,12969802.104666723,24.073599506229698,23.156082653612057,4924830.511916803,5557703.753609777,22.986348595437896,15.558791606344013
38,4749307.814339604,4808276.5979012335,7.384462191442352,6.230685699496977,4874930.5551012205,12038301.263868064,36.51078819246733,28.079711410009644,5040478.998723351,11789169.183420599,37.09424747279094,28.548245032545164,4876991.6820741845,12270124.04214249,32.388561831111325,27.804369640856596,4970341.88157514,5282029.890042718,19.892498055680655,13.302095470835743
39,4765104.177540336,5083021.324923765,8.015900070993055,6.17341001488327,4961626.820459648,11151275.848543905,32.006767926093715,24.112975107457032,4961626.820459648,11151275.848543905,32.006767926093715,24.112975107457032,4751901.35934911,11071899.642277354,25.15736769205283,24.00958374192961,4862270.093860519,5563866.684877456,21.213702753417184,14.174992567251438
40,4628151.435086599,5152882.511029113,7.12564214325774,7.031322330803548,4682607.503295055,10532811.378970297,26.93667153661712,20.578459709617405,5049288.162760423,10645995.026989581,28.150595420433387,21.059525174168893,4801136.160940963,11230550.501179062,23.596915177561144,20.87072509122296,4746051.595376258,5058662.298481767,15.380199842105117,9.949558051269289
41,4347389.931161564,3890813.0761853037,5.528165981034249,6.41071873712832,4851312.800572789,9334125.88596556,32.56091278078826,24.736447963385913,5106216.943697599,9285591.125305353,33.374181994629005,24.625761479645515,4906150.603864517,10817683.73422083,27.433611901955217,25.336755766204778,3908821.1513020056,4470397.468512861,17.81465464513615,10.757681154239123
42,4720502.316303935,5896939.077831626,9.784769106405566,10.126351498874557,4616884.086981246,10908422.326244809,29.290911939185577,24.277892390920144,5034527.29056523,10735530.245141365,30.588446984236043,24.92335525567044,4901714.839096787,12772198.10202522,25.598331717938915,25.496975513661436,4639750.547482464,3814611.778355291,15.77303878718951,11.003809551936252
