,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value,cheap_expected_cost,cheap_true_cost,cheap_expected_value,cheap_true_value,good_expected_cost,good_true_cost,good_expected_value,good_true_value
0,4326787.207889451,4591450.381438717,6.810128276682183,7.914499315354076,4756645.308230607,8747185.258627228,27.24355951545293,22.588836530471138,5124131.923055305,8836679.235711068,28.297344707099494,23.428043662970765,4822905.4868261,11499963.272142889,23.53661824728879,23.87964713260239,4757335.061335193,4973390.188740368,13.522351444957119,8.905218774287427
1,4303380.824577822,5025931.554792809,7.005079992474526,7.438814476127968,4947120.6191940205,9687971.433116822,27.817901101993414,21.980862081466444,5174028.246875968,9595081.534419853,28.200627463615863,22.113205351458966,4661059.507017117,10005420.016537972,21.52597540910313,22.053277207277276,4869906.085523875,4222051.948129585,12.013734147639434,8.371249268792766
2,4938538.836956521,5370524.199816463,5.3155638080114525,5.839979348865895,4653721.661594535,7587595.095331498,21.936257480187855,17.30951788094293,5117385.050441712,7896707.856338398,23.083668734912546,18.57624233605581,4749618.262070261,9499955.370609682,15.300404108153952,18.316915134828374,2602765.8459953675,3103813.842055805,8.884383729227633,5.90332931754555
3,4707778.265919943,4841284.454665505,9.817879013440981,8.623757712097396,4788101.874765243,10172529.97265646,29.338825044668052,25.13837876178284,5075512.838257921,9830434.984104056,29.98157144708549,25.073316936892667,4816177.225814292,11812128.714476906,23.95423795114373,26.263104416995468,4699643.34508186,4895970.504129016,17.17304921471402,12.198852810937087
4,4414068.70756613,4669645.06240054,8.517041727554764,6.3710314754503266,4798232.84205536,10852558.144398838,29.07380961125931,23.027096647800146,5103941.316062406,11025439.448884737,29.470050024982697,23.23035716755216,4782657.061046252,11903199.49458253,23.842382162763315,22.56192322735376,4797071.846720496,4847691.220063346,17.796718721092496,11.02098594658599
5,4368835.005449994,4693308.0670578,8.09711070728887,9.198410724523079,4787759.990062969,9315832.361198505,28.06879951409961,23.562603088625718,5029655.98388915,9781794.79349179,28.817085991624317,24.408214657240848,4976220.149278975,10808706.171555068,25.98320272709252,25.45050134794016,4977105.255357262,3282061.6596130664,8.924672641657569,6.855364389791708
6,4699246.241111764,5522719.304474552,9.949636097581289,11.131181137008072,4861530.873261781,11769231.907815464,31.672794810354887,29.215880377467688,5113581.150965146,11663288.074281566,32.36238691501186,29.550729208185402,4910096.861791104,12673622.50066481,27.865470282621157,27.644918815709193,3483983.868925072,3897076.116381893,10.64914154830781,6.81204226235791
7,4848655.723386658,5466557.143724124,8.042412710412666,6.802402702993652,4755116.42923668,10233553.247965917,32.74553475234309,24.75640990381998,5091841.098198242,10502601.426963551,33.58622247396219,25.77244748562507,4987079.855719976,13043712.850056274,27.219182691833442,26.16535281604812,4796192.21654342,5630632.614426375,21.408521176123084,14.657542115660966
8,4812200.971639296,5636844.479500767,7.4762672249826245,7.491655327154636,4911687.393132559,10058906.37109615,30.541943235105343,24.85920978739768,4911687.393132559,10058906.37109615,30.541943235105343,24.85920978739768,4891203.709460087,9779139.658988303,25.26316771384221,24.470381862036525,4941914.640233483,6347665.354929116,18.360056175988735,11.111737633044536
9,4753350.486856959,4475746.34943038,6.235849522519619,7.482004214646175,4879053.413426492,11905865.67230001,30.52383678308331,25.096102785842756,5058021.526886475,11245311.622588867,30.993481907256093,25.055052983921506,4782495.63926848,12823590.720673569,24.562948556668402,27.341781862968055,4646464.058304357,5196817.157188684,15.608541886436475,10.008213057384234
10,4685046.15227205,4749592.820853793,3.9671793018225165,5.276369740877993,4966134.467114094,8810060.393756742,28.596374547670216,23.42397638325162,5159604.488937532,8903806.928627867,28.79936626718123,22.966803244073002,4882850.536389052,10984575.162700688,23.019244497851076,22.615349005928813,3793981.823955278,3270119.257532274,11.405623647554005,7.469228098045118
