,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value
0,3969502.830634022,3221750.348500842,4.591729930457032,5.428044269820479,4863955.875300992,6963908.698207793,24.679147189664963,21.149289866606978,5099447.130097109,6781160.320704219,25.044873507252227,21.18780494373549
1,3640533.313079123,3467854.8862775005,5.407328333337375,5.931278761595413,4918476.268112076,6343877.19049302,20.51743190653901,16.759087275031607,4918476.268112076,6343877.19049302,20.51743190653901,16.759087275031607
2,3968087.213551512,4139020.002522176,2.8066265823732324,2.6485547010452515,4741886.414715016,6864618.6617925195,23.686732670079856,18.645199417543253,4999913.640345864,7149833.212020001,24.3135600867186,19.012247871426567
3,4932499.901155791,5546319.131785981,10.51267208248306,10.168455513949244,4975545.978263913,8950494.047499113,25.05420552270436,22.18955620229162,5038635.17492108,8900745.463477792,25.10938569922748,22.001279265584035
4,4685273.041063843,4211128.497215371,5.89742682143329,6.7828578536494595,4897181.410250753,7082974.588788268,23.863168964867317,20.60644611910973,5004397.142989205,7243547.07828377,24.057424475073734,20.27980549231318
5,4267602.445862251,4169204.335538357,7.792057852103138,6.3393562091317435,4903645.796337644,9125971.299145263,24.23559578682428,22.094124561233798,5010990.77519978,8063379.373470125,24.30134186734351,22.104412735739306
6,4906470.122217253,4177703.8197079278,2.885896415714881,4.3077047769864105,4999352.800955897,8209545.674396697,27.095233979649905,22.513407876999718,4999352.800955897,8209545.674396697,27.095233979649905,22.513407876999718
7,4923331.95876133,4887581.140740216,9.403856382963955,8.453135953309491,4867083.261716324,7353629.732292983,24.796220502250012,18.483283753063706,4867083.261716324,7353629.732292983,24.796220502250012,18.483283753063706
8,4609403.1212466,5509764.492352649,8.000809185783838,8.489782777568424,4614088.357705727,7355689.640319351,24.243187263483016,19.814313471576135,5049586.759429288,8042327.699261872,25.723133395021453,21.878019076389517
9,4972304.123767352,5209106.890671327,8.292676712198471,7.87817851827217,4834878.096573936,6891452.259752724,23.994825199771693,22.208040176189144,5061202.644331625,6920651.354587179,24.38429498679959,21.800134551068886
10,4972537.860107878,4962597.307988359,7.421761876727473,7.404427143814217,4722729.88286127,8069282.449812148,28.402643169862564,21.68388111100239,4943823.402727811,7903758.882536243,29.102622076670933,22.03848437061283
11,4635274.913497658,4928692.926494084,8.190643093846822,8.28899475946601,4858665.749358423,8118574.683706726,27.395529580167782,22.72416995870051,5113625.289291328,8035927.903650584,27.86972157459044,22.914401983199046
12,4724171.528411494,5065807.804970253,9.98079667014293,9.366642341855002,4776447.332055548,7213454.001444565,25.784651662226263,20.802078664609134,5045223.9965457525,7475234.840764366,26.786725631101096,22.092407345908107
13,4465647.719981594,4962636.484304102,10.16375485584146,10.13374368508419,4930507.541485637,7696222.559991989,22.85032617034075,18.42173436483,5162231.483367575,7142467.968269334,23.508520156863476,18.624739272529254
14,4750179.257171755,5076391.673063468,8.988292242190488,8.221972981850165,4842585.839980453,6683022.516158059,24.6582578882166,19.96031745697115,5041057.9696817715,7055522.372995162,25.28101861686112,20.48895811390708
15,4457630.9200069895,3849359.435773057,4.784413342320268,5.383429833960312,4673450.934159503,8010716.799566958,25.778981159527717,21.780200029383938,4974545.914159416,7810341.907621106,26.87439102255066,22.845614314629913
16,4800152.07425251,5017197.715454971,6.5780749500652576,8.724245057856043,4851762.9045624975,6382825.598509541,25.05396683107539,20.082478085776373,5054810.552093856,6427523.605925428,25.603855799334333,19.936415826112707
17,4997869.544112822,5161370.397750917,10.471263852422219,8.935442552065572,4867019.62191114,6700777.931987486,25.47538976772401,22.133064054268047,5015897.429099236,6530523.106030832,25.813707374779923,21.515485251150878
18,4773693.80500031,5738557.502908041,7.754655906232527,6.9960984244488245,4644103.505974066,6820817.800976925,24.6598811212465,20.21474780926766,5003296.379802541,7359291.794002155,25.504488392922415,21.417677881088412
19,4628948.394419678,6608990.235915284,9.168597594936733,10.132979172896022,4724799.5944484165,6048690.719740986,21.607454620010564,16.811938763661498,5179419.309428806,5906323.198181445,22.628776390568994,17.853575101259164
20,4478374.76423654,3786547.569513675,6.541313964828258,6.184330983835013,4814549.98813205,7830278.689108376,23.607285430266796,19.530012573759876,4935022.65210023,8143835.629488997,23.882270670438547,20.250969909391504
21,3940193.8556894525,4876819.506937385,7.574713704126003,9.292197241290697,4916125.939260675,7250363.416972964,25.31923736515168,21.007462281014245,5103400.796683924,7250442.252965848,25.83825833090349,21.48224070271165
22,4955533.982909858,5618908.460356887,6.409112197159107,6.665760636351943,4844854.638034357,7461870.49129918,22.932155535429015,19.65693729806153,5144566.834191519,7158738.160058185,23.733674565354264,20.561835951648348
23,4957414.41991034,5061716.237480085,8.762420709626525,7.724691520707681,4817138.292350644,8957317.045751981,26.169611371721,22.15336325269346,4990846.640052617,8815551.931880485,26.499053346298624,22.476382130354715
24,4949906.660790184,4639251.264965299,10.155721804839555,8.91072106673044,4814253.347738104,5818825.081090844,21.887431584490123,18.654045540436808,4973516.266121813,6180088.827005494,22.247347617722337,20.1065810354771
25,4989391.106647989,5284646.050463106,7.153300105047878,9.549260447379691,4760016.033029124,8316991.720185384,25.519488119790623,23.172645801002908,5024100.054820607,8136545.876347534,26.37085122569033,23.503742805509813
26,4662935.149230896,5398319.77208894,8.079796097297208,9.022655898128994,4955466.56784272,8208861.777156678,27.14805361217966,24.140491501589224,5019354.969376765,7706177.82617839,27.255663606705877,23.921622349330598
27,4568910.264393083,5251121.752580879,11.348784456056634,9.890687120693924,4992381.409994726,8835537.044597764,26.074147358600094,22.214239328760964,4992381.409994726,8835537.044597764,26.074147358600094,22.214239328760964
28,4770869.914313715,4377835.254879285,7.490138455627134,7.086463137906153,4981248.006816336,8080760.375005345,27.726106619673846,23.287612047192894,4981248.006816336,8080760.375005345,27.726106619673846,23.287612047192894
29,4936619.154212433,6576069.471836125,4.9582283900547015,5.924200767959628,4396622.887382956,8427335.937134394,23.591129889245966,19.687963232832992,4977740.749423995,8787330.55529545,25.342377612696442,21.074519353646263
30,4996136.625935884,4387689.701438424,4.744021310653153,4.136633905931189,4993523.439630512,7822427.095983187,25.389971316672636,21.446192644450242,5130567.9924848955,7742744.987728569,25.66141831375488,21.703088493586748
31,4968169.545404737,4574534.0979590835,7.71879568557103,7.008164559464512,4776465.6397338575,7483976.361065891,19.981711516362193,17.157249229426867,5038213.314869088,7336496.694579606,20.735722698267807,17.44012283865218
