,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value
0,4896614.79416538,5058135.045891331,7.213255366521126,7.496405301330758,4913075.951459715,5256178.315380176,19.756845687737073,19.16893187357648,5050673.696823397,5386700.770263636,20.033797634305458,19.376706055807237
1,4215971.51198512,4271877.478768711,6.042496057948569,6.515495144221382,4988026.917827438,5227899.4451542795,19.39639537290032,18.269555532170155,4988026.917827438,5227899.4451542795,19.39639537290032,18.269555532170155
2,4386590.084399236,4557251.046773316,4.953216030704656,4.609045153742026,4489518.158207692,4944529.1510387445,17.513223519510586,16.433397452426668,4987240.058829719,5302572.614403796,18.8845652941755,18.044204479935075
3,4486704.468832109,4527210.878821969,8.911711206024057,8.580904276111546,4922613.019369667,5074079.398355398,19.106589065719223,17.65674722341266,4922613.019369667,5074079.398355398,19.106589065719223,17.65674722341266
4,4956851.897342982,4952973.405697306,7.2613622492854715,7.541929917990185,4848564.587233157,5205526.604590177,17.91974218600817,18.17015020733249,4967915.940940573,5279820.462548195,18.09222018863995,18.08582306148853
5,4677559.347059451,4248042.647471093,6.973196696823105,6.585249708350748,4772907.664617411,4959080.567073642,19.86787478884387,18.619410409489625,4973915.619761047,5082152.971841912,20.48228794043475,19.11074239757242
6,4858669.483581813,4741688.118889832,4.950088962358353,5.17630312295679,4795482.985300534,4991476.354402628,19.98539923069015,20.594597076259944,4964557.227478451,5172226.319775864,20.428373241504307,21.071933533371798
7,4705133.192056406,4433827.1279919185,3.7003998798748823,3.9473751855541095,4696165.703718616,5213208.973565013,20.13337971417642,18.382860144490696,4970617.978121537,5474958.5945991045,20.926249553254063,19.181011665564842
8,4537680.841969402,4056055.1656483635,6.17610902698689,6.515884550227533,4551846.800826103,4958822.143702336,18.235601030239074,17.124402090815373,5015821.505307856,5282171.392929045,19.525157491282716,18.295102804888174
9,4403205.338251309,4830772.838956643,6.996175796954098,7.166954790719719,4704445.393059219,5323407.860408302,19.421003935194012,18.921324541495604,4969817.938707826,5478414.220104661,20.258875580236285,19.911441110000307
10,4928564.846598516,4898955.490588808,9.878397628815787,10.081538724501893,4920404.208741562,5296763.035084136,22.474210736283347,22.047244929231127,5003699.370008964,5329046.482655198,22.563622585596043,22.151682822679426
11,4946669.245400563,4679197.08914196,6.075476201387327,6.3450669385214775,4778853.721024043,5119508.797871811,20.71953358566054,19.11970177935736,4990592.940244087,5278827.776778029,21.239117646362587,19.529913659451708
12,4706449.651394766,4421297.247611168,6.374176749136052,6.111659553416249,4834525.325573626,5323646.929437444,17.154847392018205,16.272860838061884,4913030.249215603,5207151.717336413,17.335211679784596,16.401348518325598
13,4890745.169472032,5226276.085288787,4.987616145141099,5.2204317376904985,4891544.537084084,4942998.790354705,19.351472203111612,18.74674862480258,4973173.79946903,4968016.469367695,19.552612406415445,19.19121032978844
14,4952233.653667016,5183981.721826028,7.382110994899066,6.94671448372819,4872986.405398203,5033510.058802064,19.10356430649837,17.991483526905327,5037095.3219126845,5266783.231496161,19.35198266258544,18.51569168479357
15,3748944.2892309166,3768974.4954816857,4.59123623927174,4.136275932327586,4876938.299568195,5100264.421711316,17.87856342707761,17.488483043383543,5009908.0975495055,5173710.109969118,18.124032218077595,17.689376229038295
16,4457207.564088966,4353940.969090563,5.041014280795707,5.135486752748582,4401856.726543559,4781841.124314101,19.094277650591117,18.14098022545406,4935110.597840593,5171636.565883291,20.383999556332405,19.229544353007448
17,4650258.6050053025,4905645.654038612,6.4217203408884105,6.115887108526709,4726387.372023354,5197477.731473126,19.329341405546064,19.08906552802177,4909330.742047899,5342318.384560609,19.885320086799364,19.33551471922471
18,4792003.4322794825,4782512.771270225,6.928458745663741,7.069832378825885,4844670.902900101,5101115.005564744,18.6778810879497,17.7776663519463,5060037.404965784,5299138.184727834,19.127302930439985,18.758454610774198
19,4814419.327907857,4834155.238853119,7.014697453215715,6.800350787118349,4707472.268990513,5235909.067067479,17.275138137524337,16.653186585295046,5018759.610293557,5441073.525697634,17.951907198169106,17.40350661491216
20,4959192.180169585,4497482.182180249,6.687713631274604,6.505818339211419,4953334.947974845,5213654.192274504,20.042612880892822,19.43014698709474,4953334.947974845,5213654.192274504,20.042612880892822,19.43014698709474
21,4717960.643799709,4616535.125458889,6.439410236745054,6.385924655195203,4843180.654055832,4856616.265904823,18.579121058651655,17.541421099962605,5039606.584093809,4832293.409777491,19.142312539403783,18.47987819386987
22,4962315.933286732,4915393.706411676,8.85793997733535,8.804551314325407,4925447.296545657,5071106.600787599,19.269152290934812,18.777497065370177,5057380.266299861,5173451.21488813,19.52716064870967,19.21608129737769
23,4612048.806705137,4463649.682206113,7.009591717145681,7.341946909503355,4919783.726880836,4979487.442011732,20.332077127541453,19.440491480255098,5032825.676456036,5030887.310159967,20.418197259156532,19.8199116789996
24,4294439.857345963,3733876.016464156,4.495231358962881,4.886836339492753,4837967.560774734,5276054.0608211905,19.287940586156722,18.89060317029726,5006595.697546046,5306306.449328838,19.599667622163953,19.144165756511114
25,4842383.322589529,5165210.954718296,11.938320536794668,12.437544421739137,4985529.765514374,5195657.468637349,20.345850052406202,20.843010799060988,4985529.765514374,5195657.468637349,20.345850052406202,20.843010799060988
26,4099701.934756514,3921065.6474404326,5.35376543630555,5.529369908638636,4756743.1799544785,5048077.339622604,20.010420613001976,18.297737402692213,4965658.537057434,5026827.288559725,20.653091068926784,18.84482431917411
27,4840624.654157308,5292427.263524569,8.285759813717064,7.8536034930288,4702653.929712175,5317629.205582983,18.432411905461237,16.947220962125677,4908666.112743278,5455088.829900651,19.01321850197606,17.60802512420019
28,4843398.714818918,4527286.632375894,5.96672594738884,5.787583659417,4847873.814760879,4908311.9854393555,17.7098128241605,17.810924075910897,4977420.8838894665,5031702.212170953,17.881963334492966,18.20682622384917
29,4319249.028816173,4391534.631218856,6.549150649896827,6.898268125518894,4877967.761866224,5127941.428263755,18.607429038104343,17.846183570525824,5027354.708723865,5201291.027822398,18.874234350280112,18.1999715436192
30,4574586.957637424,4394255.4788539,7.202270306215473,7.483019516134111,4626919.350240364,4901132.343783189,20.125282428156673,18.399796590260685,4863720.235664787,5235204.023067089,20.947062129821106,19.239322715655835
31,4591365.527231468,4614143.836938886,4.123233569370423,4.302083778319143,4624634.335890762,4913218.209426702,17.565327142329153,17.599526080003333,5032456.386983917,5298102.563461987,18.81017261713375,18.63266382008755
32,4389072.132882333,4308192.129773667,5.05506228586912,4.939850429323601,4698074.672634018,4949877.605775188,19.9006171174588,18.21245382534436,5042832.247145305,5328597.576431266,20.811451398796414,19.165399010837245
33,4786320.485014925,4815205.6434292635,5.767121699016182,5.410405935319833,4935742.169080888,5298585.853540823,17.32161174331463,17.193780119795118,5014648.82373938,5293067.533874503,17.48338944746084,17.13460168709553
34,3962369.419463194,3878963.696179781,4.435722042602954,5.03967746794975,4865766.466823505,5080484.222738138,17.149789494441006,17.516724607348635,4982381.5712715555,5230453.778639967,17.29212187472472,18.01103762555974
35,4710456.031651806,4754663.2798703555,7.150700121292639,7.013889214941379,4616666.997578182,5052331.759204402,18.434052155040334,16.68955175012828,4965465.844184571,5382672.248222763,19.379296912347325,17.541507942325033
36,4801551.754215581,4928730.937622275,7.447592213562205,7.260621462261367,4856075.956427518,5065057.903335236,19.711215480793342,20.15763807403648,4947074.02783517,5134722.552740457,19.979924370872062,20.1946894107249
37,4905409.264592206,5158930.981756249,9.228141595912701,9.48562019566834,4910334.248458752,5267900.688409964,18.6763075578331,17.984365068939404,4975087.013592254,5305604.160573635,18.777180200275534,18.074815522321114
38,4195911.121493542,4166227.3728955463,7.9149941863312945,7.857279794100981,4631409.9153245175,4700477.272050956,16.50683729248841,15.784575555549097,4962227.89025281,5046255.5435780175,17.266530748296045,16.708378582329427
39,4927558.570409305,5312333.264254728,8.746303890117453,8.481306573005456,4746576.639323106,4916705.648326992,18.551416821628443,17.462626949181608,4910956.1186855715,5218308.416224282,18.95519294823791,17.987846672166167
