,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value
0,3464946.182649363,3879175.78287046,4.455907150346695,5.245117479957674,4851160.070421588,12401668.088707054,30.3519723018193,23.847377083175537,5098993.4864600785,12059655.752224607,30.803550502965646,24.453323785445956
1,4611936.979149483,4075023.696968134,8.785006224667555,6.209073141432505,4909087.139692362,11113315.76646363,30.545931977045278,22.742692611910087,5239841.625639033,10903154.682499457,30.73020643360668,22.764753908398365
2,4500244.68598536,4045404.0426055966,6.432675489058601,7.8941248443429775,4970585.375917763,9719878.569955401,29.337565342512562,24.45809093620459,4970585.375917763,9719878.569955401,29.337565342512562,24.45809093620459
3,4500516.76062359,5007244.061942898,6.801005913394497,9.294782938044644,4751911.915790618,11559239.164752092,32.014412079462886,24.49638161827208,5079189.213587281,11447974.157335097,33.33461727087607,25.1551987907547
4,4253878.553903128,4170097.529035003,4.985335498695639,7.425916462855252,4775966.373272799,8668102.321450908,24.536229537822635,18.59277515537752,4926593.498955855,8650091.194789778,24.971848023982407,18.64273990485746
5,4896377.089776619,4162540.2628622623,3.716184725122432,4.894241061879107,4885364.185150226,11479554.659881856,30.80021095800706,23.651271684729245,5127689.669283594,11081658.112609638,31.56841109998306,24.16766042742024
6,4549783.517662686,6602800.042614786,8.339344433550993,7.8347342943730665,4979000.861486107,11146320.607729293,34.312687117818214,28.351388523698038,4979000.861486107,11146320.607729293,34.312687117818214,28.351388523698038
7,4832851.835221577,4883033.404190569,6.759774557037877,6.890714803268688,4585368.93989762,11852678.104463642,23.565566651557333,19.928629284261074,5069208.3958169045,10729785.962441891,24.8261088136087,21.714640830915208
8,4952651.858604419,5024566.295484428,10.468069702122907,6.466425767599906,4856799.271273685,9374874.241494222,32.06292399183192,22.03934219062759,4967687.064017941,8998727.63495295,32.306066146880994,22.498363511551027
9,4861373.618872346,4912942.805898049,5.028293250345417,5.568551797128473,4966820.684627296,10901278.531413646,30.135654511865294,26.70662789793096,4966820.684627296,10901278.531413646,30.135654511865294,26.70662789793096
10,4666735.021734952,4791316.175029564,6.369126520486468,7.538753752394776,4811169.335625552,12758716.613419112,30.837963652672506,28.788951037415217,4999868.623896422,12320267.001337335,31.406958513878198,28.373691065750947
11,4659419.25624833,4459815.953780525,5.515053292825588,5.908789511148258,4688823.810037559,9368014.292392464,26.194295481442282,21.80894015101814,5054277.841705238,9304310.048057232,27.435415086399832,21.870414378281268
12,4651931.425750668,3815345.544810448,5.979728627926956,7.1660373030213105,4721999.812401147,11697147.956141584,33.08537417161312,25.468014927477643,4929644.025908894,11847548.151314896,33.79611398822203,25.5808629865258
13,3587338.2153483336,4029740.042115039,10.577826065425121,6.938138003513205,4933607.806566974,10998984.461948197,31.145867553607268,25.767241530370075,4956864.584092968,10874899.961081998,31.15586346412084,25.34685571149135
14,4899132.235139832,7017596.303224149,8.971001584142586,8.650074984200662,4978941.113894588,12199697.445060847,31.504498448742574,26.524330758683917,4978941.113894588,12199697.445060847,31.504498448742574,26.524330758683917
15,3564339.6748741837,3356670.1390062096,5.042536499310977,6.254875841305328,4913537.103889592,9535677.338876372,30.828492892559176,26.25072716289966,5112491.437565453,9746895.243671596,31.228984138560218,26.94562726137883
16,4438213.931811769,4854266.387638259,4.272729399551773,5.51619815113258,4970276.067441584,10433461.40107103,34.52139279272338,26.642222870576898,4970276.067441584,10433461.40107103,34.52139279272338,26.642222870576898
17,3951435.914958301,3600394.9092119513,4.45510721734792,4.4603518960508755,4552022.935115005,9850265.89688351,28.380317378286684,22.43626097731351,4977177.556596703,9777868.477492604,29.496920617272465,22.389014394695906
18,4127266.8294364763,3180361.6743291244,3.167719957067444,3.1125628602965203,4779516.118492218,6551796.300978315,26.20651164588631,20.296539956907004,5090932.970849495,6429314.631368106,27.27423767618094,20.91352674355521
19,3784592.7909858134,3171649.265012906,3.1161253855068365,3.9315353630688907,4755848.131159118,7346070.758410042,29.80541223966499,22.92247563434304,4916724.613734912,7426481.676260316,30.516941386505437,22.732737766609002
20,4663585.7982066525,5922366.759377492,6.161289680818533,6.0054374431077004,4977336.851763532,8509223.926336406,31.553748436674113,23.913307044190002,5158793.954827556,8522025.552975863,31.883135266388877,24.841921049117737
21,4900430.063598559,4479737.957359518,3.1823058580831622,4.880066413408471,4811801.045041913,7850172.462685339,29.14665923732823,21.733827123598818,5006902.127669162,8072669.034378677,29.633453402759887,21.817344408061647
22,3861206.6315459847,2839897.3190699387,6.028522240821129,5.490862220013986,4868508.78521074,9893747.515983468,29.41359637757261,24.984944251294316,5078995.025530988,10039552.354359133,29.92249312095676,25.348503090207366
23,4908999.330909278,4745286.608463747,6.733644461681706,7.037530537016253,4777228.779289042,9492767.266302736,31.208898329359567,23.35646645310092,4942487.762739933,9669556.893066268,31.879062170289448,24.074894654623314
24,4480679.321923252,3478734.9337635,6.20551820061134,6.198310559408547,4684444.985497199,8278713.022840071,27.85211292192083,21.051646134725615,4979413.184298476,8474768.429089287,28.867797286766052,21.833032683601026
25,4642987.5892257,5040758.874634127,6.892530861045259,7.985501902211756,4514128.367166455,10461076.374589475,28.570379489157975,27.255318755813473,4955989.690003673,11075774.666560942,30.215998004717154,27.423604449769826
26,4997776.401169565,5605586.664879287,9.022749755556793,7.654694814410738,4793985.469413479,9021988.632336259,29.073060787884877,20.778260319308252,5112296.070770921,9164808.248468662,29.778767048605793,21.416878619837593
27,3850108.545217947,2698863.763305772,3.9563338490246247,4.298275856036108,4762370.590549357,9666832.408503607,30.771455980938565,22.926798484265095,5036024.602544558,9854493.365141124,31.540457273557,24.27159884032411
28,3852732.8605887257,4371509.98164453,5.993090225286589,6.58687945141787,4901433.636320451,9929841.752180977,31.55888914207497,25.6950597033124,5032308.691554885,8686643.498580027,31.729051573664556,24.634141080585806
29,4016660.2805945594,3241541.458599245,2.777719162051489,2.732835103526802,4923014.7838982735,8967111.474341318,32.235608794391766,24.904971494299705,5089669.346141175,9143843.587513402,32.657355100746834,25.99938479515753
30,4990743.1977796815,6798588.949638164,10.512194590173886,11.217548846389185,4826476.770336811,8239169.964884606,27.057326657638917,21.0764067915582,4900589.672789756,8016260.833860534,27.237871531669107,20.850816818616558
31,4060956.46982547,3124252.659584286,3.8070919452544936,3.488130717746591,4774258.101173178,11558585.308716614,30.599053889499316,24.894531557879887,5052661.083734525,11381396.444305474,31.465177604996004,25.234820821485116
32,4571573.890532158,4877823.716420396,6.298707820547344,5.7507457788535,4551412.974111737,10388704.577800496,30.507679762054586,22.581185775076897,5218482.197371615,10435429.376168884,33.27137335056989,24.03203236272911
33,3823408.0319039486,3203827.957831772,1.4544706355729367,2.2846921432682925,4626308.7909086505,8534968.484366607,27.160640125749772,22.170683705618377,4976411.9268824225,8600055.838875348,27.922751698572437,22.247622672309433
34,4408100.402002854,4776271.542314639,9.336828752399754,7.8864643073307565,4630221.172230476,9463943.89315501,26.213304399138007,22.301120527115327,5037454.907278095,10124869.453484729,27.58025650989957,24.37311210110562
