,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value
0,4326787.207889451,4591450.381438717,6.810128276682183,7.914499315354076,4756645.308230607,8747185.258627228,27.24355951545293,22.588836530471138,5124131.923055305,8836679.235711068,28.297344707099494,23.428043662970765
1,4303380.824577822,5025931.554792809,7.005079992474526,7.438814476127968,4947120.6191940205,9687971.433116822,27.817901101993414,21.980862081466444,5174028.246875968,9595081.534419853,28.200627463615863,22.113205351458966
2,4938538.836956521,5370524.199816463,5.3155638080114525,5.839979348865895,4653721.661594535,7587595.095331498,21.936257480187855,17.30951788094293,5117385.050441712,7896707.856338398,23.083668734912546,18.57624233605581
3,4707778.265919943,4841284.454665505,9.817879013440981,8.623757712097396,4788101.874765243,10172529.97265646,29.338825044668052,25.13837876178284,5075512.838257921,9830434.984104056,29.98157144708549,25.073316936892667
4,4414068.70756613,4669645.06240054,8.517041727554764,6.3710314754503266,4798232.84205536,10852558.144398838,29.07380961125931,23.027096647800146,5103941.316062406,11025439.448884737,29.470050024982697,23.23035716755216
5,4368835.005449994,4693308.0670578,8.09711070728887,9.198410724523079,4787759.990062969,9315832.361198505,28.06879951409961,23.562603088625718,5029655.98388915,9781794.79349179,28.817085991624317,24.408214657240848
6,4699246.241111764,5522719.304474552,9.949636097581289,11.131181137008072,4861530.873261781,11769231.907815464,31.672794810354887,29.215880377467688,5113581.150965146,11663288.074281566,32.36238691501186,29.550729208185402
7,4848655.723386658,5466557.143724124,8.042412710412666,6.802402702993652,4755116.42923668,10233553.247965917,32.74553475234309,24.75640990381998,5091841.098198242,10502601.426963551,33.58622247396219,25.77244748562507
8,4812200.971639296,5636844.479500767,7.4762672249826245,7.491655327154636,4911687.393132559,10058906.37109615,30.541943235105343,24.85920978739768,4911687.393132559,10058906.37109615,30.541943235105343,24.85920978739768
9,4753350.486856959,4475746.34943038,6.235849522519619,7.482004214646175,4879053.413426492,11905865.67230001,30.52383678308331,25.096102785842756,5058021.526886475,11245311.622588867,30.993481907256093,25.055052983921506
10,4685046.15227205,4749592.820853793,3.9671793018225165,5.276369740877993,4966134.467114094,8810060.393756742,28.596374547670216,23.42397638325162,5159604.488937532,8903806.928627867,28.79936626718123,22.966803244073002
11,4800259.073942525,4236356.421500808,7.197504539147014,7.077901096992556,4957655.643222023,8332828.928291961,27.3484133982884,23.18481316213599,5159097.652276193,8297177.359859744,27.75356838825512,23.364874814216563
12,4720596.271604752,3077282.938417025,5.435102893063156,4.8371806346710295,4964034.137230628,10668797.95362465,30.98316076055085,25.819657602127293,4964034.137230628,10668797.95362465,30.98316076055085,25.819657602127293
13,4493693.767012134,4481794.559622456,5.950028067980294,6.167405522046868,4934778.456605799,8907160.627875444,26.4361903246628,21.354319752503553,5061366.6514167255,8463738.578732004,26.734967529934522,21.38435298434272
14,4259579.321979961,3629353.235411732,7.9845032482206095,6.237819361281646,4753525.692335314,9697432.60756153,31.257707925775744,23.423305678041366,4925833.469315666,9516840.920457637,31.713135523911504,23.783732591704883
15,3704028.6786857173,4235874.5703307465,7.105881057353095,6.481377220584163,4926898.133112449,10889612.066994479,32.41901768009566,25.858726341144923,5202010.679893134,10728105.363457697,33.30246563989172,26.63181055753926
16,3998058.909174578,4126793.425918416,6.89056206948146,5.60686931340876,4589457.019876848,10079217.344000036,24.722069337900688,18.867244227010048,5018716.815468181,10355496.811234996,25.884958883686156,18.80446841618017
17,4964350.699841054,4681238.16162413,6.22347799888024,7.021984596240326,4805566.1668769,9801343.019525394,30.241920285784648,24.592093045454202,5062998.798551066,9250186.57942538,30.562335117304695,24.425224727849542
18,4925116.600723402,4681064.001720955,6.806582325464273,5.386321415564448,4792126.646118958,6833778.420853059,27.099517760296433,22.138647008910656,5023700.525628184,7030419.735127631,27.812235069835605,22.09748269269137
19,4986219.319517311,6713713.606931632,6.480770759686372,9.645979811911515,4742958.157000231,9346206.985126024,30.403462014207463,23.535071769822455,5105940.498322974,9282034.2413901,31.6541189997575,23.83971874723022
20,4506510.588840771,4221160.5512931645,7.679538245008805,7.566292799326248,4797407.766919017,6797873.383009249,24.897443263679744,19.284396832580974,4925879.384428587,6906916.789939679,25.225063662953886,18.555644144628367
21,3676272.0244084164,3994666.128217088,4.962274026633551,3.39777785735621,4928787.7894901475,8475711.141315933,29.092986579923362,21.566409932772938,5020841.254370011,8464804.993946113,29.329094447861877,22.17393052393619
22,4218115.999662709,3353866.626340087,3.8822101935075404,3.812221217552718,4684562.62187427,8063167.663624873,24.579961261177328,17.96416840869003,4985926.620610676,8310906.581835876,25.6465798743583,18.913742010280515
23,4710727.4769110745,4979284.07482477,5.531257983168553,5.599061106017349,4728240.568009527,10756171.948483348,32.58994385368199,24.547937768059775,4991221.736385259,10408541.370875793,33.39586928035249,25.611428268746238
24,4979577.061188247,5165832.605812022,5.799968099484302,6.764399000267872,4578034.985229133,9534310.798544027,27.6581810696767,22.771452611112526,5123325.517597414,9691743.027813185,29.39070346378463,23.60970366226168
25,4495225.930802786,4045475.6553497314,4.177198207959657,5.001577261732538,4903912.718604168,8838019.4398084,27.72070493977408,22.50582099635801,5199066.784493603,8536729.807322726,28.427975904371262,22.63196654570611
26,4923390.753255894,4378229.743769608,5.737361181082185,5.503758549176432,4779696.895240473,9922657.68690271,24.141448968372718,20.487916883981033,5036500.301905751,9782715.725158516,25.081961172413212,20.815937131767942
27,4612072.292279942,4218926.69719856,6.203302822770883,6.381176201853375,4624903.169999762,8421070.03106554,25.81119129840353,20.702890408643608,5233209.610465522,8483510.235085573,27.830280484924344,21.945588936574378
28,4188951.579203415,4618999.970738922,7.7706033216858685,7.985254943393857,4910287.331984288,11467670.204962105,31.078135929372284,24.632628032407048,4910287.331984288,11467670.204962105,31.078135929372284,24.632628032407048
29,4282626.067792287,3442430.79096323,3.36869407620435,3.859252042869664,4802534.79266186,9410478.705378467,25.532119438681345,22.75517298240433,5190520.539082551,9727121.005344132,26.520047411278036,23.728883422222804
30,4976763.876038693,4638292.641148925,6.6310530042077405,7.904315548990706,4502387.083962656,8088210.329815542,24.283481371360047,20.356676761409908,4887598.344007807,8125266.932131442,25.506450549028536,20.742634516210938
31,4994874.622782109,6189172.671427547,10.279581327901477,13.13235145778291,4924611.186114762,10070302.512005782,28.700534127019942,21.590174218714715,4993671.219135886,8822252.07706102,28.715090951082026,20.51682944639717
32,4129484.1047866717,4786116.030980355,6.84769458715993,9.078026705070595,4849450.708421931,10670872.890544692,32.195909831983016,25.897249418399507,5121990.792469884,10110728.568406982,32.39231220838791,26.133294859489492
33,4163837.5142367654,3548036.3412870225,4.169554464730265,5.06132317971764,4531530.498805998,9176179.716658846,28.792007153931834,22.86354211894298,5087889.702404283,9371237.174066216,30.652633908977673,22.922618326153767
34,4855125.377229057,5436631.456121543,8.24093525518554,9.490348718190008,4654887.111453883,6632055.24536428,22.639429560020936,18.295141602054375,4969219.743824648,6897091.189944106,23.34362924744331,19.23433364158357
35,4774198.547677649,4672268.194842802,9.041719778238877,8.080385457234025,4761655.457191519,10100798.794642806,25.217926651242337,22.3972203123744,5148353.8306374345,10280651.243703187,26.55088992655586,23.174251244690886
36,4999106.205727125,4046442.6880491413,6.326655659867175,7.3204694679398665,4967422.516662098,10812981.017858157,31.261009115751747,24.33749832918034,5167132.826266681,10276866.194095833,31.8095035056062,24.24585974695796
37,3851029.245047501,3218993.896477961,5.668897511250383,5.064066727101378,4710640.142601874,7874955.375452203,24.92660524016585,19.254161438841074,5235982.15401228,7965301.375941724,25.93305842959103,20.07406341773757
38,4533380.970450839,5421103.870650871,7.114316717395963,7.167554218824105,4780912.003972271,9943215.255990298,26.22946685127935,20.6387410879236,5110508.801855591,10330645.997030767,27.092029011643568,21.29498487050002
39,4911673.921256926,5617858.277682314,9.515702508203667,8.022500629126405,4853012.178890062,9210732.489127096,26.668715348799935,20.713242452510016,4959272.677668479,9267560.940994417,26.822987377446896,21.277946469013795
40,4867991.894076479,4026709.9829516932,2.569311809976391,4.091690533108641,4832825.151649427,10080211.105372198,31.28892780805266,26.61573661160765,5170177.539354418,10266215.895580355,31.82274743930649,27.088005037653577
41,3432513.4880781067,3298796.6572811403,5.920878037399984,5.194838211795326,4723400.396923838,6960273.295269604,28.816292961068676,21.61307779488894,5090413.262069282,7339419.069362334,29.4942734769357,22.39237345202824
42,4094645.420154063,4326536.743455425,6.772753992040936,5.914980038412079,4766792.57583853,8285995.196590534,27.7528191067646,19.687256086317895,5082885.534214124,8065535.343107747,28.725694525898632,20.030163770890255
43,3992382.572337981,3721758.948469626,6.264389621706702,5.834362858795408,4781668.247502964,11942800.739155177,27.405797068562773,23.281331886426933,5027846.145376749,12170003.9469548,28.092806197185624,23.611842668907673
44,4445506.791063124,5460393.272815391,8.407058114252614,7.787773582261488,4653872.811633522,9135141.593542054,25.71913363501373,21.02286232915569,4913972.916194643,9323800.211860454,26.542195634237906,21.553957281462075
45,4555206.559189819,6377719.941838065,8.182101893155146,7.964502573853118,4898915.571633582,8806665.189476607,23.487933901669372,18.634351876410534,5166533.263044047,8824520.733969789,23.79646967147262,19.08328572994055
46,4652535.491905417,4735995.783062715,5.78287777176404,5.635808415404515,4654731.678369684,10008012.20359306,29.455556126677795,25.19965652473015,5104572.652843811,10221366.009904452,30.78105169140394,25.66290530524737
47,4649722.655069539,5842026.909690813,6.779942806559214,6.498366048277077,4975699.695292351,9493274.953895465,28.67498776664489,20.581328666647607,5070248.807262533,9071372.144866738,28.728270278966964,20.334336495668
48,4841701.453243714,4942486.009177737,10.078926259144227,9.14567704273659,4981142.318449047,7605786.24192247,26.0147313695005,21.175125850734023,4981142.318449047,7605786.24192247,26.0147313695005,21.175125850734023
49,4917956.699358128,4044532.9539297232,6.847488916288884,6.7441139374276045,4677773.831207929,10110726.05511577,26.66549144530131,22.077521327941508,4873758.0127827395,10446176.135289714,27.253223351849414,22.73863531118521
50,4078422.323526644,3492131.999208675,7.881963597264011,9.299806033913592,4664886.234531877,9405602.630789416,27.154120253652266,21.19330386452756,4936730.524414296,9648587.421801498,28.294258103845436,22.14937695251897
51,4393577.05613548,3551706.7076937174,7.194348353581066,5.927247177949873,4904508.844879676,7094144.292766281,27.903521200337885,20.27174843838244,5029185.006366013,7034568.456965631,28.292765063634985,20.36094207403473
52,4860679.61178423,3941832.4593103575,5.911179477269345,6.2015657175798085,4544467.284371389,9429567.176893594,23.835817073798765,19.016719119845316,5095137.620058003,9882766.737891044,25.404202000275966,20.444835372108848
