,random_expected_cost,random_true_cost,random_expected_value,random_true_value,costben_expected_cost,costben_true_cost,costben_expected_value,costben_true_value,optimal_expected_cost,optimal_true_cost,optimal_expected_value,optimal_true_value
0,4906951.687680975,5058135.045891331,7.231770013633133,7.496405301330758,4935659.2543707965,5256178.315380176,19.716982687484553,19.16893187357648,5073154.897329863,5386700.770263636,19.990047384254556,19.376706055807237
1,4218010.906454062,4271877.478768711,6.072040029644499,6.515495144221382,4643320.980195274,4920523.592541674,18.212174265551806,17.292803316507424,5043181.198665644,5187405.747974016,19.095613960596022,18.386864723690532
2,4398323.060014925,4557251.046773316,4.930922757778848,4.609045153742026,4519765.906270681,4944529.151038744,17.443308085839377,16.433397452426668,5008393.4020701805,5302572.614403796,18.83151172567452,18.044204479935075
3,4489145.989618141,4527210.878821969,8.888802543821889,8.580904276111546,4805148.953215926,4983726.869217793,18.593730295108095,17.61411519762727,4943965.802999601,5117175.465374015,19.02361732295114,17.90265738359252
4,4956392.599905232,4952973.405697306,7.2786667639308265,7.541929917990185,4871323.798108074,5205526.604590177,17.938754587058725,18.17015020733249,4988000.700050856,5279820.462548195,18.094905245499092,18.08582306148853
5,4650276.246706614,4248042.647471093,6.94996973042727,6.585249708350748,4769562.446391332,4916326.007927823,19.741343319355508,18.90131397022026,4981021.328393134,5082152.971841912,20.392410873301586,19.11074239757242
6,4851924.825583816,4741688.118889832,4.965809303296393,5.17630312295679,4808259.01148799,4991476.354402628,20.02285445739873,20.59459707625994,4978089.9391791755,5172226.319775864,20.46827094878799,21.071933533371798
7,4686212.953779376,4433827.1279919185,3.7154460217448113,3.9473751855541095,4849255.431150209,5245842.284078772,20.438567989403822,18.927918783851293,4955753.236486586,5361546.411548708,20.6645482552715,19.087744580777702
8,4506890.624781001,4056055.1656483635,6.197325017426955,6.515884550227533,4579221.0966261495,4958822.143702336,18.161625974867718,17.124402090815376,4952581.391133736,5253000.780542234,19.322563279843568,18.231968975668856
9,4430313.236678774,4830772.838956643,7.007022861292599,7.166954790719719,4785415.630477147,5295566.2475129375,19.565622850994195,19.738075525091503,5009682.3321711,5443428.836463762,19.977160025972708,19.956688869089966
10,4926898.010522927,4898955.490588808,9.891101177689324,10.081538724501893,4944343.315925388,5296763.035084135,22.448488633561027,22.047244929231127,4966440.583893274,5361553.745643173,22.46142940792358,22.300189332351586
11,4929136.073268233,4679197.08914196,6.093844073795566,6.3450669385214775,4800635.17585315,5119508.797871812,20.615238980764232,19.119701779357364,5024789.671294088,5132075.526824813,21.087357676379522,19.615743355930594
12,4688951.993660417,4421297.247611168,6.3581171666332335,6.111659553416249,4866819.805181079,5323646.929437445,17.095482100614106,16.272860838061884,4866819.805181079,5323646.929437445,17.095482100614106,16.272860838061884
13,4441630.529349227,4187357.1448098654,4.573302190509997,4.799120056449308,4708063.29271592,5038721.420121474,19.891563519507507,18.796293483976612,5036953.214929086,5211329.09602766,20.842595786125337,19.918395318621027
14,4678721.188119119,4653728.107512694,9.416228876230715,8.940490404113593,4454413.167963489,4631586.960970234,19.563203056941497,18.83587478637726,4959484.980629239,5207541.106015977,21.225938390085616,21.380640253669025
15,4366562.284903012,4355733.92507977,4.998942689154217,5.469657592063351,4952814.4676298965,5249657.273352839,19.1046778683111,19.20014941234568,5027668.725971144,5312796.489212123,19.253014296354745,19.411104677476594
